configuration,algorithm,target,MAE,RMSE,R2
D_History,Linear Regression,second_half_actions_per90,41.95358527157824,54.194045890272186,0.3039705336876807
D_History,Random Forest,second_half_actions_per90,41.60543147642595,54.3219565888827,0.3006810697163401
D_History,XGBoost,second_half_actions_per90,42.38752403075949,55.562129856406365,0.2683855971410646
E_History_FirstHalf,Linear Regression,second_half_actions_per90,33.966736015754705,44.466320778814925,0.5314166319891651
E_History_FirstHalf,Random Forest,second_half_actions_per90,33.80271643647634,44.6001545618498,0.5285917227654603
E_History_FirstHalf,XGBoost,second_half_actions_per90,34.492612494557164,45.25263458035623,0.5146978519850642
F_History_FirstHalf_xPass,Linear Regression,second_half_actions_per90,33.943904789209846,44.46294635755794,0.5314877481801933
F_History_FirstHalf_xPass,Random Forest,second_half_actions_per90,33.806183176651,44.604122096057,0.5285078480939904
F_History_FirstHalf_xPass,XGBoost,second_half_actions_per90,34.54499310842665,45.348974195784976,0.5126293054569435
G_History_FirstHalf_xPass_Trajectory,Random Forest,second_half_actions_per90,33.69666709104576,44.449278098240654,0.531775752606109
G_History_FirstHalf_xPass_Trajectory,Linear Regression,second_half_actions_per90,34.00136939154768,44.49172677883131,0.5308810252746328
G_History_FirstHalf_xPass_Trajectory,XGBoost,second_half_actions_per90,34.32545465254912,45.02235457036717,0.5196244617217278
D_History,Random Forest,second_half_miscontrols_per90,1.24214518685901,1.8641162462662564,0.1794427270327411
D_History,Linear Regression,second_half_miscontrols_per90,1.2579780182518918,1.8691502204293255,0.17500497646924384
D_History,XGBoost,second_half_miscontrols_per90,1.2655207954480903,1.8951953103219736,0.15185352321333123
E_History_FirstHalf,Linear Regression,second_half_miscontrols_per90,1.2159100232118394,1.7987520782905129,0.23597858148707762
E_History_FirstHalf,Random Forest,second_half_miscontrols_per90,1.208685398169599,1.826408140133638,0.21230410090006924
E_History_FirstHalf,XGBoost,second_half_miscontrols_per90,1.226111095629534,1.849908078582496,0.19190352153929657
F_History_FirstHalf_xPass,Linear Regression,second_half_miscontrols_per90,1.2181789188407612,1.8005917293849187,0.23441499570867375
F_History_FirstHalf_xPass,Random Forest,second_half_miscontrols_per90,1.210112685448014,1.8246527030587736,0.2138175480261365
F_History_FirstHalf_xPass,XGBoost,second_half_miscontrols_per90,1.228139638498737,1.8592436614681465,0.18372680474503533
G_History_FirstHalf_xPass_Trajectory,Linear Regression,second_half_miscontrols_per90,1.2164269186606371,1.8003054787686545,0.23465839542665567
G_History_FirstHalf_xPass_Trajectory,Random Forest,second_half_miscontrols_per90,1.2119797519330677,1.8273180627235222,0.2115190399725696
G_History_FirstHalf_xPass_Trajectory,XGBoost,second_half_miscontrols_per90,1.2267277402682966,1.8410324660236632,0.19963919807676966
D_History,Random Forest,second_half_pass_completion_rate,0.11957645737458424,0.16261130370042776,0.13054749356375395
D_History,Linear Regression,second_half_pass_completion_rate,0.11966536088495135,0.1626801981461744,0.12981060582777793
D_History,XGBoost,second_half_pass_completion_rate,0.12227333396711461,0.16575114099475105,0.09664707781080384
E_History_FirstHalf,Linear Regression,second_half_pass_completion_rate,0.10512877809868788,0.1438757810871547,0.31935636250868926
E_History_FirstHalf,Random Forest,second_half_pass_completion_rate,0.10583833172259816,0.14469777000617567,0.31155686026796636
E_History_FirstHalf,XGBoost,second_half_pass_completion_rate,0.10707030478809586,0.1471863485036534,0.28767290713746196
F_History_FirstHalf_xPass,Linear Regression,second_half_pass_completion_rate,0.10474445662786752,0.14358152661782225,0.3221376175916639
F_History_FirstHalf_xPass,Random Forest,second_half_pass_completion_rate,0.10592443820350533,0.14460095148109708,0.31247783852474276
F_History_FirstHalf_xPass,XGBoost,second_half_pass_completion_rate,0.10694559303348015,0.14670864780863158,0.29228919056667435
G_History_FirstHalf_xPass_Trajectory,Random Forest,second_half_pass_completion_rate,0.10607579407806741,0.1448123602366451,0.3104660335718059
G_History_FirstHalf_xPass_Trajectory,Linear Regression,second_half_pass_completion_rate,0.10565186318382679,0.1448577131894583,0.31003406356035834
G_History_FirstHalf_xPass_Trajectory,XGBoost,second_half_pass_completion_rate,0.10683202593775187,0.14700561691133268,0.28942118026849883
D_History,Linear Regression,second_half_progressive_passes_per90,4.289227413931949,5.769098746031804,0.17173911500559724
D_History,Random Forest,second_half_progressive_passes_per90,4.303149421118665,5.788151477689824,0.16625933688536576
D_History,XGBoost,second_half_progressive_passes_per90,4.420777692710994,5.928881069635171,0.1252243525803164
E_History_FirstHalf,Linear Regression,second_half_progressive_passes_per90,3.929507891599491,5.182864125787091,0.3315162509467825
E_History_FirstHalf,Random Forest,second_half_progressive_passes_per90,3.917730050515021,5.206758897371569,0.32533816593176323
E_History_FirstHalf,XGBoost,second_half_progressive_passes_per90,4.042943876675558,5.343393921109412,0.2894648110431004
F_History_FirstHalf_xPass,Linear Regression,second_half_progressive_passes_per90,3.9271912490644834,5.201165805479305,0.32678682871562514
F_History_FirstHalf_xPass,Random Forest,second_half_progressive_passes_per90,3.9205175526665523,5.212935182499408,0.32373664170679883
F_History_FirstHalf_xPass,XGBoost,second_half_progressive_passes_per90,4.071067298617514,5.377422571542322,0.28038610833944355
G_History_FirstHalf_xPass_Trajectory,Random Forest,second_half_progressive_passes_per90,3.9172264155464043,5.205571605246901,0.32564581580386576
G_History_FirstHalf_xPass_Trajectory,XGBoost,second_half_progressive_passes_per90,4.060332504766957,5.372317604456788,0.2817517668660765
G_History_FirstHalf_xPass_Trajectory,Linear Regression,second_half_progressive_passes_per90,4.018983415435192,5.4233109734970455,0.2680520103923909
D_History,Linear Regression,second_half_statsbomb_xg_per90,0.146786363660096,0.278181206134713,0.13263226340598422
D_History,Random Forest,second_half_statsbomb_xg_per90,0.14224514891678372,0.28083112436924224,0.11602869050986087
D_History,XGBoost,second_half_statsbomb_xg_per90,0.15167566666880392,0.29429895774456516,0.02921034392426003
E_History_FirstHalf,Linear Regression,second_half_statsbomb_xg_per90,0.14151155608728433,0.2728479974152939,0.16557129970800755
E_History_FirstHalf,Random Forest,second_half_statsbomb_xg_per90,0.13777517127645797,0.27583992040446553,0.14717105918804696
E_History_FirstHalf,XGBoost,second_half_statsbomb_xg_per90,0.14884726977697169,0.2904899799108681,0.05417670722758838
F_History_FirstHalf_xPass,Linear Regression,second_half_statsbomb_xg_per90,0.14209765614495803,0.27307872176422054,0.16415949225039284
F_History_FirstHalf_xPass,Random Forest,second_half_statsbomb_xg_per90,0.13815703961359177,0.2761244078457869,0.14541102216737045
F_History_FirstHalf_xPass,XGBoost,second_half_statsbomb_xg_per90,0.1492691992275324,0.2913995168186081,0.04824460622318871
G_History_FirstHalf_xPass_Trajectory,Linear Regression,second_half_statsbomb_xg_per90,0.14352300805880827,0.2732559492187778,0.16307422310953557
G_History_FirstHalf_xPass_Trajectory,Random Forest,second_half_statsbomb_xg_per90,0.13869208550908982,0.27675791702419716,0.14148517571317798
G_History_FirstHalf_xPass_Trajectory,XGBoost,second_half_statsbomb_xg_per90,0.14962922107315693,0.2929540808139352,0.0380626313910164
