actual_group,observations,mean_actual,mean_predicted,mean_absolute_error,target
"(20.389999999999997, 87.661]",386,68.5513269972767,104.87835725483254,39.064996663287474,Actions / 90
"(87.661, 115.162]",386,102.14299011247655,126.04888717682907,31.582935912201766,Actions / 90
"(115.162, 143.518]",385,129.0479401918896,139.63143961372376,22.97306704547093,Actions / 90
"(143.518, 185.685]",385,163.755857619391,160.36084798124088,25.254468550691158,Actions / 90
"(185.685, 501.257]",386,239.68653545996554,196.37574931868224,50.43821301370816,Actions / 90
"(-0.001, 2.404]",386,0.968066429963501,5.5471664541001395,4.590673861666421,Progressive Passes / 90
"(2.404, 5.274]",385,3.856326660620346,5.958695806670569,2.406284021554053,Progressive Passes / 90
"(5.274, 7.347]",387,6.252742836039365,7.0691246303066615,2.1075177058713255,Progressive Passes / 90
"(7.347, 11.266]",386,9.330356275188867,8.149399013518487,2.6895184188285888,Progressive Passes / 90
"(11.266, 33.039]",384,16.800748888618163,10.381038396415805,6.659106481999569,Progressive Passes / 90
"(-0.001, 0.667]",413,0.5587491195409064,0.7169501239992414,0.16473543014213668,Pass Completion Rate
"(0.667, 0.778]",365,0.7379431219328624,0.766511477923714,0.0638635647190129,Pass Completion Rate
"(0.778, 0.857]",388,0.8203574250432061,0.7999318987907597,0.06198920482151983,Pass Completion Rate
"(0.857, 0.925]",377,0.8931379473767586,0.8333451382202502,0.07101625415735036,Pass Completion Rate
"(0.925, 1.0]",385,0.9690471818062599,0.842065399168748,0.1293705849299701,Pass Completion Rate
"(-0.001, 1.851]",1542,0.26326196491057974,0.8286847724482737,0.8046954396501469,Miscontrols / 90
"(1.851, 16.295]",386,3.7298264984345604,1.5820901754977617,2.2013819628366242,Miscontrols / 90
"(-0.001, 0.128]",1542,0.01291440229123336,0.09161787016866599,0.08829979084142157,xG / 90
"(0.128, 4.36]",386,0.5271878414905553,0.2047672570280072,0.36164641068944003,xG / 90
