history_group,observations,mean_absolute_error,median_absolute_error,target
0,144,30.978211449816254,27.254135333999265,Actions / 90
1–2,340,33.40462759482501,27.55475991972737,Actions / 90
3–5,265,32.40255652263048,25.361864299860912,Actions / 90
6–10,231,36.54133294732531,27.711623065799614,Actions / 90
11+,948,34.241236478490855,26.008960119278793,Actions / 90
0,144,3.974518919984281,3.003324531247977,Progressive Passes / 90
1–2,340,3.8683687441516814,2.871777496625684,Progressive Passes / 90
3–5,265,3.488608306601969,2.8505289402488145,Progressive Passes / 90
6–10,231,3.694880466045087,3.1827867220336366,Progressive Passes / 90
11+,948,3.6326003411752916,3.0367653728048336,Progressive Passes / 90
0,144,0.09992332088890313,0.07949865734324352,Pass Completion Rate
1–2,340,0.11015638732182237,0.09038614178572468,Pass Completion Rate
3–5,265,0.11241620161946597,0.09016880228348856,Pass Completion Rate
6–10,231,0.09419154242652898,0.0721169676784299,Pass Completion Rate
11+,948,0.09344712935669104,0.07005468643806895,Pass Completion Rate
0,144,1.11781888595,0.8205286150254003,Miscontrols / 90
1–2,340,1.118472660670545,0.7823640514288102,Miscontrols / 90
3–5,265,1.1017161159064373,0.7880708350442385,Miscontrols / 90
6–10,231,1.0207489916184087,0.7237209193446275,Miscontrols / 90
11+,948,1.0776153941050841,0.775079978271399,Miscontrols / 90
0,144,0.12041177903679122,0.061566282207875314,xG / 90
1–2,340,0.11005775459524986,0.06502948314171633,xG / 90
3–5,265,0.12062838261880703,0.07082370023483683,xG / 90
6–10,231,0.12766263378530845,0.0688950538715647,xG / 90
11+,948,0.16828931377797776,0.0825910715321182,xG / 90
